Date,Price,Open,High,Low,Vol.,Change %
12/4/2023,767.21,971.42,"1,012.50","1,471.57",1.08M,1.58%
12/5/2023,769.11,957.4,"1,008.87","1,471.30",876.73K,-1.16%
12/6/2023,762.47,952.51,"1,015.86","1,482.05",763.96K,4.22%
12/7/2023,764.16,969,"1,020.35","1,443.32",1.10M,1.26%
12/8/2023,782.59,962.38,"1,025.17","1,400.87",1.04M,-4.11%
12/11/2023,796.54,963.91,"1,030.41","1,413.58",755.91K,-0.73%
12/12/2023,813.73,965.92,"1,032.58","1,446.77",771.03K,0.91%
12/13/2023,828.33,960.59,"1,039.55","1,446.88",665.46K,0.12%
12/14/2023,835.32,963.39,"1,044.10","1,461.78",798.29K,-1.88%
12/15/2023,834.21,969.43,"1,045.96","1,463.54",865.58K,1.49%
12/18/2023,832.4,966,"1,064.09","1,469.21",964.11K,0.28%
12/19/2023,827.03,962.49,"1,067.45","1,468.21",906.08K,0.47%
12/20/2023,837.01,951.52,"1,066.99","1,468.95",927.54K,-0.27%
12/21/2023,845.92,950.61,"1,065.85","1,476.61",1.11M,-1.34%
12/22/2023,852.91,953.55,"1,068.56","1,468.88",963.35K,-1.47%
12/25/2023,862.73,959.55,"1,081.60","1,472.43",902.84K,-0.42%
12/26/2023,852.74,959.43,"1,084.23","1,471.84",1.07M,0.37%
12/27/2023,859.04,958.18,"1,094.09","1,447.14",1.36M,-0.22%
12/28/2023,869.13,960.67,"1,084.76","1,456.32",889.48K,-3.44%
12/29/2023,857.48,957.7,"1,084.42","1,469.91",752.11K,1.97%
1/2/2024,861.39,962.89,"1,096.11","1,483.97",1.00M,1.10%
1/3/2024,864.47,965.71,"1,102.79","1,485.82",843.88K,-0.63%
1/4/2024,878.67,960.26,"1,108.83","1,484.82",747.86K,-0.22%
1/5/2024,874.8,968.72,"1,105.33","1,485.97",875.73K,3.66%
1/8/2024,881.17,962.79,"1,126.43","1,507.19",891.30K,0.23%
